url,site,product_name,price,checked_at
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,51990,2025-11-25T22:22:40.231626
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-25T22:22:45.179804
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,51990,2025-11-26T01:31:01.325829
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T01:31:06.272525
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,51990,2025-11-26T03:17:47.667699
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T03:17:52.901157
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,51990,2025-11-26T04:29:01.349045
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T04:29:06.511759
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-26T06:34:00.885982
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T06:34:05.839415
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-26T08:30:46.587223
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T08:30:51.517117
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-26T10:26:04.293789
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T10:26:09.489684
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-26T12:45:32.695878
https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y,amazon,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black : Amazon.in: Electronics",66900,2025-11-26T12:45:37.620921
https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY,amazon,Apple iPhone 15 (128 GB) - Black : Amazon.in: Electronics,52990,2025-11-26T14:24:03.520514
